tempo,mao,angulo,velocidade_px_s,tempo_up_s
0.52,Right,0.00,0.00,0.00
0.52,Left,0.00,0.00,0.00
0.59,Right,0.00,0.00,0.00
0.59,Left,0.00,0.00,0.00
0.64,Right,0.00,0.00,0.00
0.64,Left,0.00,0.00,0.00
0.69,Right,0.00,0.00,0.00
0.69,Left,0.00,0.00,0.00
0.74,Right,0.00,0.00,0.00
0.74,Left,0.00,0.00,0.00
0.79,Right,0.00,0.00,0.00
0.79,Left,0.00,0.00,0.00
0.84,Right,0.00,0.00,0.00
0.84,Left,0.00,0.00,0.00
0.90,Right,0.00,0.00,0.00
0.90,Left,0.00,0.00,0.00
0.95,Right,0.00,0.00,0.00
0.95,Left,0.00,0.00,0.00
1.00,Right,0.00,0.00,0.00
1.00,Left,0.00,0.00,0.00
1.05,Right,0.00,0.00,0.00
1.05,Left,0.00,0.00,0.00
1.10,Right,0.00,0.00,0.00
1.10,Left,0.00,0.00,0.00
1.16,Right,0.00,0.00,0.00
1.16,Left,0.00,0.00,0.00
1.22,Right,0.00,0.00,0.00
1.22,Left,0.00,0.00,0.00
1.27,Right,0.00,0.00,0.00
1.27,Left,0.00,0.00,0.00
1.32,Right,0.00,0.00,0.00
1.32,Left,0.00,0.00,0.00
1.38,Right,0.00,0.00,0.00
1.38,Left,0.00,0.00,0.00
1.43,Right,0.00,0.00,0.00
1.43,Left,0.00,0.00,0.00
1.47,Right,0.00,0.00,0.00
1.47,Left,0.00,0.00,0.00
1.52,Right,0.00,0.00,0.00
1.52,Left,0.00,0.00,0.00
1.58,Right,0.00,0.00,0.00
1.58,Left,0.00,0.00,0.00
1.64,Right,0.00,0.00,0.00
1.64,Left,0.00,0.00,0.00
1.69,Right,0.00,0.00,0.00
1.69,Left,0.00,0.00,0.00
1.74,Right,0.00,0.00,0.00
1.74,Left,0.00,0.00,0.00
1.79,Right,0.00,0.00,0.00
1.79,Left,0.00,0.00,0.00
1.84,Right,0.00,0.00,0.00
1.84,Left,0.00,0.00,0.00
1.89,Right,0.00,0.00,0.00
1.89,Left,0.00,0.00,0.00
1.94,Right,0.00,0.00,0.00
1.94,Left,0.00,0.00,0.00
1.99,Right,0.00,0.00,0.00
1.99,Left,0.00,0.00,0.00
2.04,Right,0.00,0.00,0.00
2.04,Left,0.00,0.00,0.00
2.09,Right,0.00,0.00,0.00
2.09,Left,0.00,0.00,0.00
2.13,Right,0.00,0.00,0.00
2.13,Left,0.00,0.00,0.00
2.18,Right,0.00,0.00,0.00
2.18,Left,0.00,0.00,0.00
2.23,Right,0.00,0.00,0.00
2.23,Left,0.00,0.00,0.00
2.28,Right,0.00,0.00,0.00
2.28,Left,0.00,0.00,0.00
2.32,Right,0.00,0.00,0.00
2.32,Left,0.00,0.00,0.00
2.37,Right,0.00,0.00,0.00
2.37,Left,0.00,0.00,0.00
2.42,Right,0.00,0.00,0.00
2.42,Left,0.00,0.00,0.00
2.47,Right,0.00,0.00,0.00
2.47,Left,0.00,0.00,0.00
2.52,Right,0.00,0.00,0.00
2.52,Left,0.00,0.00,0.00
2.57,Right,0.00,0.00,0.00
2.57,Left,0.00,0.00,0.00
2.61,Right,0.00,0.00,0.00
2.61,Left,0.00,0.00,0.00
2.66,Right,0.00,0.00,0.00
2.66,Left,0.00,0.00,0.00
2.71,Right,0.00,0.00,0.00
2.71,Left,0.00,0.00,0.00
2.76,Right,0.00,0.00,0.00
2.76,Left,0.00,0.00,0.00
2.81,Right,0.00,0.00,0.00
2.81,Left,0.00,0.00,0.00
2.85,Right,0.00,0.00,0.00
2.85,Left,0.00,0.00,0.00
2.90,Right,0.00,0.00,0.00
2.90,Left,0.00,0.00,0.00
2.95,Right,0.00,0.00,0.00
2.95,Left,0.00,0.00,0.00
3.00,Right,0.00,0.00,0.00
3.00,Left,0.00,0.00,0.00
3.05,Right,0.00,0.00,0.00
3.05,Left,0.00,0.00,0.00
3.11,Right,0.00,0.00,0.00
3.11,Left,0.00,0.00,0.00
3.18,Right,0.00,1378.55,0.00
3.18,Left,0.00,0.00,0.00
3.26,Right,0.00,1462.52,0.00
3.26,Left,0.00,0.00,0.00
3.31,Right,0.00,1519.61,0.00
3.31,Left,0.00,0.00,0.00
3.36,Right,0.00,1425.59,0.00
3.36,Left,0.00,0.00,0.00
3.42,Right,0.00,1297.59,0.00
3.42,Left,0.00,0.00,0.00
3.48,Right,0.00,1172.65,0.00
3.48,Left,0.00,0.00,0.00
3.54,Right,0.00,1013.67,0.00
3.54,Left,0.00,0.00,0.00
3.60,Right,0.00,745.29,0.00
3.60,Left,0.00,0.00,0.00
3.66,Right,0.00,697.57,0.00
3.66,Left,0.00,0.00,0.00
3.72,Right,0.00,557.72,0.00
3.72,Left,0.00,0.00,0.00
3.78,Right,0.00,348.55,0.00
3.78,Left,0.00,0.00,0.00
3.84,Right,0.00,293.06,0.00
3.84,Left,0.00,0.00,0.00
3.90,Right,0.00,236.01,0.00
3.90,Left,0.00,0.00,0.00
3.96,Right,0.00,96.41,0.00
3.96,Left,0.00,0.00,0.00
4.02,Right,0.00,105.70,0.00
4.02,Left,0.00,0.00,0.00
4.09,Right,0.00,89.23,0.00
4.09,Left,0.00,0.00,0.00
4.15,Right,0.00,168.83,0.00
4.15,Left,0.00,0.00,0.00
4.21,Right,0.00,181.40,0.00
4.21,Left,0.00,0.00,0.00
4.27,Right,0.00,247.72,0.00
4.27,Left,0.00,0.00,0.00
4.33,Right,0.00,249.85,0.00
4.33,Left,0.00,0.00,0.00
4.39,Right,0.00,244.14,0.00
4.39,Left,0.00,0.00,0.00
4.45,Right,0.00,166.49,0.00
4.45,Left,0.00,0.00,0.00
4.52,Right,0.00,151.44,0.00
4.52,Left,0.00,0.00,0.00
4.57,Right,0.00,124.39,0.00
4.57,Left,0.00,0.00,0.00
4.63,Right,0.00,107.36,0.00
4.63,Left,0.00,0.00,0.00
4.71,Right,0.00,113.81,0.00
4.71,Left,0.00,0.00,0.00
4.77,Right,0.00,177.65,0.00
4.77,Left,0.00,0.00,0.00
4.84,Right,0.00,239.32,0.00
4.84,Left,0.00,0.00,0.00
4.90,Right,0.00,214.29,0.00
4.90,Left,0.00,0.00,0.00
4.96,Right,0.00,241.17,0.00
4.96,Left,0.00,0.00,0.00
5.02,Right,0.00,326.25,0.00
5.02,Left,0.00,0.00,0.00
5.09,Right,0.00,256.30,0.00
5.09,Left,0.00,0.00,0.00
5.14,Right,0.00,200.22,0.00
5.14,Left,0.00,0.00,0.00
5.21,Right,0.00,200.89,0.00
5.21,Left,0.00,0.00,0.00
5.27,Right,0.00,197.08,0.00
5.27,Left,0.00,0.00,0.00
5.33,Right,0.00,119.31,0.00
5.33,Left,0.00,0.00,0.00
5.39,Right,0.00,206.18,0.00
5.39,Left,0.00,0.00,0.00
5.45,Right,0.00,217.00,0.00
5.45,Left,0.00,0.00,0.00
5.52,Right,0.00,202.02,0.00
5.52,Left,0.00,0.00,0.00
5.58,Right,0.00,213.41,0.00
5.58,Left,0.00,0.00,0.00
5.63,Right,0.00,312.86,0.00
5.63,Left,0.00,0.00,0.00
5.70,Right,0.00,227.01,0.00
5.70,Left,0.00,0.00,0.00
5.76,Right,0.00,215.10,0.00
5.76,Left,0.00,0.00,0.00
5.82,Right,0.00,207.01,0.00
5.82,Left,0.00,0.00,0.00
5.88,Right,0.00,185.20,0.00
5.88,Left,0.00,0.00,0.00
5.94,Right,0.00,75.86,0.00
5.94,Left,0.00,0.00,0.00
6.00,Right,0.00,76.93,0.00
6.00,Left,0.00,0.00,0.00
6.06,Right,0.00,101.77,0.00
6.06,Left,0.00,0.00,0.00
6.12,Right,0.00,131.60,0.00
6.12,Left,0.00,0.00,0.00
6.18,Right,0.00,129.60,0.00
6.18,Left,0.00,0.00,0.00
6.24,Right,0.00,191.70,0.00
6.24,Left,0.00,0.00,0.00
6.31,Right,0.00,186.69,0.00
6.31,Left,0.00,0.00,0.00
6.37,Right,0.00,164.31,0.00
6.37,Left,0.00,0.00,0.00
6.43,Right,0.00,139.63,0.00
6.43,Left,0.00,0.00,0.00
6.48,Right,0.00,262.86,0.00
6.48,Left,0.00,0.00,0.00
6.55,Right,0.00,228.02,0.00
6.55,Left,0.00,0.00,0.00
6.60,Right,0.00,291.04,0.00
6.60,Left,0.00,0.00,0.00
6.66,Right,0.00,333.27,0.00
6.66,Left,0.00,0.00,0.00
6.71,Right,0.00,539.42,0.00
6.71,Left,0.00,0.00,0.00
6.78,Right,0.00,539.21,0.00
6.78,Left,0.00,0.00,0.00
6.83,Right,0.00,610.29,0.00
6.83,Left,0.00,0.00,0.00
6.89,Right,0.00,559.33,0.00
6.89,Left,0.00,0.00,0.00
6.96,Right,0.00,546.22,0.00
6.96,Left,0.00,0.00,0.00
7.01,Right,0.00,393.96,0.00
7.01,Left,0.00,0.00,0.00
7.07,Right,0.00,310.03,0.00
7.07,Left,0.00,0.00,0.00
7.13,Right,0.00,238.15,0.00
7.13,Left,0.00,0.00,0.00
